level,word,part_of_speech,definition,synonyms,more_synonyms
15,translucent,adj,allowing light to pass through diffusely,"translucent, semitransparent","clear, sunny, transparent, transparent, fine, see-through"
15,travail,,Synonyms:,"More Synonyms: fuss, delivery, producing, pregnancy, childbirth, work hard","fuss, delivery, producing, pregnancy, childbirth, work hard"
15,treason,n,a crime that undermines the offender’s government,"treason, high treason, lese majesty","disloyalty, deceive, disloyalty, collusion, misleading, unfaithfulness"
15,treatise,n,a formal exposition,treatise,"study, writing, pith, document, analysis, dialogue"
15,tremor,n,an involuntary vibration (as if from illness or fear),"tremor, shudder","shaking, spasm, upset, mental state, alarm, collision"
15,tribulation,n,an annoying or frustrating or catastrophic event,"trial, tribulation, visitation","unhappiness, hurt, loss, disaster, concern, task"
15,troublesome,adj,difficult to deal with,troublesome,"bothersome, difficult, difficult, embarrassing, troubling, complex"
15,truce,n,a state of peace agreed to between opponents so they can discuss peace terms,"armistice, cease-fire, truce","peace, agreement, stop in fighting, suspension of hostilities, peace, suspension"
15,trustworthy,adj,worthy of trust or belief,"trustworthy, trusty","reliable, candidness, real, dependable, undoubtable, loyal"
15,tundra,n,a vast treeless plain in the Arctic regions where the subsoil is permanently frozen,tundra,"plain, top, field, bush"
15,turbulent,adj,characterized by unrest or disorder or insubordination,"disruptive, riotous, troubled, tumultuous, turbulent","unsettled, rebellious, mad, stormy, confused, unlawful"
15,turmoil,n,a violent disturbance,"convulsion, turmoil, upheaval","chaos, activity, fuss, shaking, mixing, lawlessness, chaos"
15,twig,v,branch out in a twiglike manner,twig,"understand, offshoot, stem, pole, rod"
15,typhoon,n,a tropical cyclone occurring in the western Pacific or Indian oceans,typhoon,"blast, storm, windstorm, storm, tropical storm, violent rain storm"
15,tyrant,n,a cruel and oppressive dictator,"tyrant, autocrat, despot","dictator, domineer, dictator, dictator, ruler, enforcer"
15,unavoidable,,,,
15,uncontrolled,adj,not being under control; out of control,uncontrolled,"bad, independent, confused, emotional, upset, excessive"
15,unconventional,adj,not conforming to accepted rules or standards,unconventional,"different, abnormal, different, ahead, complementary medicine, very odd"
15,undiscovered,adj,not discovered,undiscovered,"distant, unknown, unique, obscure, ignored, hidden"
15,unearth,v,bring to light,unearth,"dig up, encounter, dig, discover, hollow out, investigate"
15,uneasy,adj,lacking a sense of security or affording no ease or reassurance,uneasy,"awkward, worried, fearful, careful, awkward, worried"
15,unidimensional,,Synonyms:,More Synonyms:,
15,uniformity,n,a condition in which everything is regular and unvarying,uniformity,"regularity, fixedness, similarity, similarity, correspondence, sameness"
15,unjust,adj,not fair; marked by injustice or partiality or deception,"unfair, unjust","not fair, unwarranted, nastily and unfairly, dishonest, cruel, immoral"
15,unnatural,adj,not in accordance with or determined by nature; contrary to nature,unnatural,
15,unobservable,,Synonyms:,"More Synonyms: intangible, indefinite, hidden","intangible, indefinite, hidden"
15,unqualified,adj,not limited or restricted,unqualified,"not competent, outright, complete, absolute, explicit, absolute"
15,unravel,v,become or cause to become undone by separating the fibers or threads of,"unravel, unknot, unscramble, untangle, unpick","figure out, explain, solve a difficult problem, troubleshoot, understand, decipher"
15,unrealistic,adj,not realistic,unrealistic,"unbelievable, wishful thinking, opinionated, overstated, hard to believe, unbelieveable"
15,unreliable,adj,liable to be erroneous or misleading,"undependable, unreliable","not true, informal, erratic, dishonest, negligent, doubtful"
15,unsettle,v,disturb the composure of,"faze, unnerve, enervate, unsettle","bother, erratic, bewilder, depress, make crazy, disorder"
15,unsuitable,adj,not meant or adapted for a particular purpose,unsuitable,"not proper, wrong, bother, unsatisfactory, not suitable, unsuitable"
15,untreated,adj,not given medical care or treatment,untreated,not cooked
15,uprising,n,organized opposition to authority; a conflict in which one faction tries to wrest control from another,"rebellion, insurrection, revolt, rising, uprising","disturbance, clamor, seizure of power, upset, rebellion, defiance"
15,vacate,v,"leave (a job, post, or position) voluntarily","vacate, resign, renounce, give up","empty, desert, give up, eliminate, abolish, void"
15,valor,n,the qualities of a hero or heroine; exceptional or heroic courage when facing danger (especially in battle),"heroism, gallantry, valor, valour, valorousness, valiance, valiancy","bravery, recklessness, boldness, boldness, daring deed, perseverance"
15,veer,v,turn sharply; change direction abruptly,"swerve, sheer, curve, trend, veer, slue, slew, cut","bend, curve, differ, angle, bending, bounce off"
15,venerable,adj,impressive by reason of age,venerable,"respected, old, old, out-of-date, dignified, important"
15,verbose,adj,using or containing too many words,"long-winded, tedious, verbose, windy, wordy","wordy, pompous, abundant, wordy, gushing, ornate"
15,versatility,n,having a wide variety of skills,versatility,
15,vertigo,n,a reeling sensation; a feeling that you are about to fall,"dizziness, giddiness, lightheadedness, vertigo","dizziness, unconsciousness"
15,verve,n,an energetic style,"vitality, verve","energy, enthusiasm, liveliness, enthusiasm, style, vivacity, race"
15,vigil,n,a period of sleeplessness,vigil,"watch, carefulness, unsleeping, guard, observation, funeral"
15,vignette,n,a brief literary description,"sketch, vignette",
15,vigor,n,forceful exertion,"energy, vigor, vigour, zip","energy, activity, drive, liveliness, style, vivacity"
15,vocation,n,the particular occupation for which you are trained,"career, calling, vocation","work, hope, profession, profession, occupation, business"
15,wag,v,move from side to side,"wag, waggle","funny person, wiggle, shake, clown, joker, clown"
15,waggish,,Synonyms:,"More Synonyms: playful, knowing, amusing, amusing, kidding, humorous","playful, knowing, amusing, amusing, kidding, humorous"
15,wane,v,grow smaller,"decline, go down, wane","diminish, lessen, mature, condense, deteriorate, lessening"
15,wary,adj,marked by keen caution and watchful prudence,wary,"careful, attentive, guard, tricky, scheming, clever"
15,wasteland,n,an uninhabited wilderness that is worthless for cultivation,"barren, waste, wasteland","backcountry, wilderness, aloneness, plain, bush, forest"
15,wean,v,gradually deprive (infants and young mammals) of mother’s milk,"wean, ablactate","estrange, alienate, break up, nurture"
15,whim,n,a sudden desire,"caprice, impulse, whim","idea, change, craze, impulse, seizure, irregularity"
15,whimsical,adj,determined by chance or impulse or whim rather than by necessity or reason,"capricious, impulsive, whimsical",
15,wilt,,Synonyms:,"More Synonyms: sag, curve, fall apart, dwindle, hang down, sponge","sag, curve, fall apart, dwindle, hang down, sponge"
15,wither,v,"wither, as with a loss of moisture","shrivel, shrivel up, shrink, wither","droop, ruin, fire, condense, make less, dry"
15,wreak,v,cause to happen or to occur as a consequence,"bring, work, play, wreak, make for","force, cause destruction, cause, perform, destroy, dictate"
15,yearn,v,desire strongly or persistently,"hanker, long, yearn","desire, hope, yearn, desire, desire, want"
15,yoke,n,fabric comprising a fitted part at the top of a garment,yoke,"bondage, join, link, fasten, obligate, combine"
15,zeal,n,a feeling of strong eagerness (usually in favor of a person or cause),"ardor, ardour, elan, zeal","enthusiasm, liveliness, drive, liveliness, taste, work"
15,zephyr,n,a slight wind (usually refreshing),"breeze, zephyr, gentle wind, air","wind, wind, currents Copyright 2007 Audrey Walton. All rights reserved. Definitions from WordNet 3.0 Copyright 2006 by Princeton University. All rights reserved."
16,abet,v,"assist or encourage, usually in some wrongdoing",abet,"encourage, help, help, support, assist, approve"
16,abode,,Synonyms:,"More Synonyms: residence, residence, habitat, home, business, residence","residence, residence, habitat, home, business, residence"
16,abreast,adv,"alongside each other, facing in the same direction",abreast,"alongside, up-to-date, aware, away from, in the current, next to"
16,absurdity,n,a message whose content is at variance with reason,"absurdity, absurdness, ridiculousness","ridiculousness, mistake, indulgence, folderol, foolishness, nonsense, nonsense"
16,abut,v,lie adjacent to another or share a boundary,"border, adjoin, edge, abut, march, butt, butt against, butt on","touching, link, edge, approximate, touch, touch"
16,abysmal,adj,very great; limitless,abysmal,"immeasurable, deep, far down, bottomless, bottomless"
16,accede,v,yield to another’s wish or opinion,"submit, bow, defer, accede, give in","agree, consent, approve, certify, admit, agree"
16,accentuate,v,"to stress, single out as important","stress, emphasize, emphasise, punctuate, accent, accentuate","focus attention on, emphasize, stress, stress, exaggerate, dramatize"
16,acetic,,Synonyms:,"More Synonyms: harsh, bad-tasting","harsh, bad-tasting"
16,acuity,n,sharpness of vision; the visual ability to resolve fine detail (usually measured by a Snellen chart),"acuity, visual acuity, sharp-sightedness",
16,acumen,n,a tapering point,acumen,"intelligence, intuition, reasoning, insight, caution, particularity"
16,adage,n,a condensed but memorable saying embodying some important fact of experience that is taken as true by many people,"proverb, adage, saw, byword","proverb, saying, principle, saying, overused, hackneyed phrase, saying"
16,adamant,adj,"impervious to pleas, persuasion, requests, reason","adamant, adamantine, inexorable, intransigent","unyielding, hard, determined, definite, firm, fixed"
16,adherent,n,someone who believes and helps to spread the doctrine of another,"disciple, adherent","supporter or follower, enthusiast, helper, disciple, partner, close friend"
16,administrate,,Synonyms:,"More Synonyms: manage, control, reign, administer, carry out, show","manage, control, reign, administer, carry out, show"
16,admonish,v,admonish or counsel in terms of someone’s behavior,"warn, discourage, admonish, monish","warn, recommend, accuse, warn, condemn, humiliate"
16,adoration,n,a feeling of profound love and admiration,"worship, adoration","love, respect, commitment, admiration of great person, devotion, respect"
16,affliction,n,a state of great suffering and distress due to adversity,affliction,"hurt, bad luck, annoyance, suffering, pain, misery"
16,agnostic,n,someone who is doubtful or noncommittal about something,"agnostic, doubter",
16,agrarian,adj,relating to rural matters,"agrarian, agricultural, farming","concerning land, farming, rural or rustic, rural, organic, peaceful, country"
16,alight,v,"to come to rest, settle","alight, light, perch","land, afire, come, shining, blazing, enter"
16,alimony,n,court-ordered support paid by one spouse to another after they are separated,"alimony, maintenance","provision, amount, sustenance, fee, retirement benefits, financial aid"
16,allusion,n,passing reference or indirect mention,allusion,"hint, exaggeration, turn of expression, indication, suggestion, clue"
16,aloft,adv,at or on or to the masthead or upper rigging of a ship,aloft,"higher, wing, move up, above, above"
16,amalgam,n,an alloy of mercury with another metal (usually silver) used by dentists to fill cavities in teeth; except for iron and platinum all metals dissolve in mercury and chemists refer to the resulting mercury mixtures as amalgams,"amalgam, dental amalgam","mixture, mixture, mix, alliance, mixture, combination"
16,amalgamate,v,to bring or combine together or with something else,"mix, mingle, commix, unify, amalgamate","blend, gather, debase, associate, mix, befriend"
16,amalgamation,n,the combination of two or more commercial companies,"amalgamation, merger, uniting","blending, association, mixture, mixture, mix, alliance"
16,amass,v,collect or gather,"accumulate, cumulate, conglomerate, pile up, gather, amass","accumulate, increase, receive, combine, congregate, collect"
16,ameliorate,v,to make better,"better, improve, amend, ameliorate, meliorate","better, improve, help, improve, clean, calm"
16,amenable,adj,disposed or willing to comply,"amenable, conformable","cooperative, responsible, willing, responsible, matching, fixable"
16,amiable,adj,disposed to please,"amiable, good-humored, good-humoured","friendly, friendly, friendly, kindly, friendly, composed"
16,amity,n,a cordial disposition,"amity, cordiality","friendship, concurrence, charity, friendship, kindness, friendship"
16,amnesia,n,partial or total loss of memory,"amnesia, memory loss, blackout","unremembering, blankness"
16,amorphous,adj,having no definite form or distinct shape,"amorphous, formless, shapeless","unshaped, disorganized, undeveloped, confused, approximate, formless"
16,annihilate,v,kill in large numbers,"eliminate, annihilate, extinguish, eradicate, wipe out, decimate, carry off","destroy, eliminate, void, explode, ruin, destroy"
16,antagonism,n,a state of deep-seated ill-will,"hostility, enmity, antagonism","opposition, hostility, upset, hatred, disgust, contrast"
16,antecedent,n,someone from whom you are descended (but usually more remote than a grandparent),"ancestor, ascendant, ascendent, antecedent, root","prior, predecessor, predecessor(s) in family, predecessor, history, beginning"
16,antiseptic,,,,
16,antisocial,adj,shunning contact with others,antisocial,"non-participating, offense, unsociable, unsociable, psychopath, alone"
16,apocalyptic,adj,prophetic of devastation or ultimate doom,"apocalyptic, apocalyptical, revelatory","horrible, significant, exhibitive, foreboding, prophetic, exciting; foreboding"
16,apogee,n,a final climactic stage,"apogee, culmination","pinnacle, high point, culmination, point, conclusion, ultimate"
16,apparition,n,a ghostly appearing figure,"apparition, phantom, phantasm, phantasma, fantasm, specter, spectre","ghost, misconception, imagination, spook, dream, impression"
16,appease,v,cause to be more favorably inclined; gain the good will of,"pacify, lenify, conciliate, assuage, appease, mollify, placate, gentle, gruntle","satisfy, soothe, compensate, quiet, calm, please"
16,apportionment,n,the act of distributing by allotting or apportioning; distribution according to a plan,"allotment, apportionment, apportioning, allocation, parceling, parcelling, assignation","payment, distribution, portion, amount, allocation, giving"
16,apropos,adv,at an opportune time,"seasonably, timely, well-timed, apropos","suitable, suitably, about, with regard to, concerning, appropriate"
16,arable,adj,(of farmland) capable of being farmed productively,"arable, cultivable, cultivatable, tillable",
16,arbiter,n,someone with the power to settle matters at will,"arbiter, supreme authority","judge, settler, expert, authority, analyst, arbiter"
16,arcane,adj,requiring secret or mysterious knowledge,arcane,"secret, secret, secret, secret, abstract, sarcastic"
16,archaic,adj,so extremely old as seeming to belong to an earlier period,"antediluvian, antiquated, archaic","old, old, out-of-date, ancient, obsolete, old-fashioned"
16,ardent,adj,characterized by intense emotion,"ardent, fervent, fervid, fiery, impassioned, perfervid, torrid","enthusiastic, loyal, strong distilled liquor, affectionate, driven, affectionate"
16,ardor,n,a feeling of strong eagerness (usually in favor of a person or cause),"ardor, ardour, elan, zeal","enthusiasm, love, fondness, loyalty, drive, liveliness"
16,arduous,adj,characterized by effort to the point of exhaustion; especially physical effort,"arduous, backbreaking, grueling, gruelling, hard, heavy, laborious, operose, punishing, toilsome","difficult, effortful, strenuous, complex, hard, difficult"
16,aristocracy,n,a privileged class holding hereditary titles,"nobility, aristocracy","privileged, upper class, wealthy fashionable people, the best and brightest, high class, sophistication"
16,arousal,n,the act of arousing,"arousal, rousing","rousing, sexual excitement, idea"
16,artifice,n,a deceptive maneuver (especially to avoid capture),"ruse, artifice","hoax, deception, skill, cunning, trick, deception"
16,artistry,,,,
16,askew,adv,turned or twisted to one side,"askew, awry, skew-whiff","crooked, sideways, off-course, crooked, distorted, angled"
16,assail,v,attack someone physically or emotionally,"assail, assault, set on, attack","attack, attack, attack, assault physically, plague, surround"
16,astonishment,n,the feeling that accompanies something extremely surprising,"astonishment, amazement","surprise, surprise, amazement, chaos, amazement, amazement"
16,astute,adj,marked by practical hardheaded intelligence,"astute, sharp, shrewd","perceptive, perceptive, learning, intelligent, intelligent, clever"
16,atrophy,n,a decrease in size of an organ caused by disease or disuse,"atrophy, wasting, wasting away","disintegration, collapse, deteriorate, decay, decay, disgrace"
16,attrition,n,erosion by friction,"abrasion, attrition, corrasion, detrition","wearing, regret, regret, regret, deterioration, rubbing"
16,aural,adj,of or pertaining to hearing or the ear,aural,"sound, heard, affecting"
16,aver,v,report or maintain,"allege, aver, say","declare, insist, certify, affirm, profess, declare"
16,averse,adj,(usually followed by `to’) strongly opposed,"antipathetic, antipathetical, averse, indisposed, loath, loth","opposing, reluctant, having a reaction to food, material, etc., bashful, uncooperative, scornful"
16,backfire,v,come back to the originator of an action with an undesired effect,"backfire, backlash, recoil","disappoint, reaction, blow up, eruption, fail, respond"
16,backwater,n,a body of water that was created by a flood or tide or by being held or forced back by a dam,backwater,"reject, countryside"
16,balk,v,refuse to comply,"resist, balk, baulk, jib","stop, thwart, withdraw, support, catastrophe, displeasure"
16,barrage,n,the rapid and continuous delivery of linguistic communication (spoken or written),"barrage, bombardment, outpouring, onslaught","bombardment, profusion, physical assault, mass, fight, assault"
16,bastion,n,a group that defends a principle,bastion,"support, fortification, tower, protection, reinforcement, station for the military"
16,bedlam,n,a state of extreme confusion and disorder,"chaos, pandemonium, bedlam, topsy-turvydom, topsy-turvyness","chaos, insane asylum, confusion, clamor, loud noise, insane asylum"
16,befall,v,become of; happen to,"befall, bechance, betide","take place, happen, happen, happen, coexist, happen"
16,belated,adj,after the expected or usual time; delayed,"belated, late, tardy","late, late, past, slow, late, old-fashioned"
16,belie,v,be in contradiction with,"contradict, belie, negate","disprove, deceive, distort, vary, libel, mask"
16,believable,adj,capable of being believed,,
16,benefactor,n,a person who helps people or institutions (especially with financial help),"benefactor, helper","donor, supporter, giver, establisher, giver, charitable woman"
16,bequeath,v,leave or give by will after one’s death,"bequeath, will, leave","give, give, donate, give, give gift, contribute"
16,bereave,,Synonyms:,"More Synonyms: take away, exclude, take, mislay, expel, steal","take away, exclude, take, mislay, expel, steal"
16,bereave,,Synonyms:,"More Synonyms: take away, exclude, take, mislay, expel, steal","take away, exclude, take, mislay, expel, steal"
16,beseech,v,ask for or request earnestly,"bid, beseech, entreat, adjure, press, conjure","beg, command, request, request, request, request"
16,beset,v,annoy continually or chronically,"harass, hassle, harry, chivy, chivvy, chevy, chevvy, beset, plague, molest, provoke","plague, hurt, attack, attack, assault physically, harass"
16,besiege,v,surround so as to force to give up,"besiege, beleaguer, surround, hem in, circumvent","surround, bother, assault physically, request, plague, assault"
16,bewilder,v,be a mystery or bewildering to,"perplex, vex, stick, get, puzzle, mystify, baffle, beat, pose, bewilder, flummox, stupefy, nonplus, gravel, amaze, dumbfound","confuse, surprise, surprise, amaze, perplex, captivate"
16,bicker,v,argue over petty things,"quibble, niggle, pettifog, bicker, squabble, brabble","argue, fight, fight, cry, make a deal, clash"
16,bifurcation,n,a bifurcating branch (one or both of them),bifurcation,consequence
16,bigot,n,a prejudiced person who is intolerant of any opinions differing from his own,bigot,"persecutor, savage, show prejudice, overenthusiast, overenthusiast, pretender"
16,bigotry,n,the intolerance and prejudice of a bigot,"bigotry, dogmatism","prejudice, partiality, bias, overenthusiasm, deceitfulness, intolerance"
16,blanch,v,"turn pale, as if in fear","pale, blanch, blench","fear, whiten, prepare food, lose color, feel alarm, wince"
16,blasphemy,n,blasphemous language (expressing disrespect for God or for something sacred),blasphemy,"irreverence, swearing, violation, hating, unorthodoxy, abuse"
16,botch,v,"make a mess of, destroy or ruin","botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","blunder, botch, blunder, ruin, soil, lack of success"
16,bough,n,any of the larger branches of a tree,bough,"branch, limb, limb, appendage"
16,brawl,v,"to quarrel noisily, angrily or disruptively","brawl, wrangle","fight, fight, fight, fight, party, fierce fight"
16,brazen,adj,unrestrained by convention or propriety,"audacious, barefaced, bodacious, bald-faced, brassy, brazen, brazen-faced, insolent","brash, confident, arrogant, shameless, bully, impulsive"
16,brevity,n,the use of brief expressions,brevity,briefness
16,broach,v,bring up a topic for discussion,"broach, initiate","bring up, open, mention, announce, begin, articulate"
16,brunt,,Synonyms:,"More Synonyms: bad result, be eligible for something, energy, endure, collision, effect","bad result, be eligible for something, energy, endure, collision, effect"
16,bugle,n,a brass instrument without valves; used for military calls and fanfares,bugle,"musical horn, public clamor, organ"
16,bullion,n,a mass of precious metal,bullion,"money, stone, lump"
16,bungle,v,"make a mess of, destroy or ruin","botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","blunder, blunder, mistake, botch, a mistake, blunder"
16,buoyancy,n,cheerfulness that bubbles to the surface,"buoyancy, perkiness","lightness, cheerfulness, liveliness, happiness, enthusiasm, enthusiasm"
16,buoyant,adj,tending to float on a liquid or rise in air or gas,"buoyant, floaty","light, happy, nimble, lively, light-hearted, lighthearted"
16,burgeon,v,grow and flourish,burgeon,"flower, flower, sprout, grow, bloom, evolve"
16,burnish,v,polish and make shiny,,
16,buttress,v,reinforce with a buttress,buttress,"support, support, help, support, support, fortification"
16,bygone,n,past events to be put aside,"bygone, water under the bridge","past, old, ancient times, heirloom, old, knickknack"
16,byproduct,n,a secondary and sometimes unexpected consequence,"by-product, byproduct","harvest, adverse or unwanted secondary effect"
16,bystander,n,a nonparticipant spectator,bystander,"watcher, onlooker, resident, spectator, observer, fan"
16,cabal,v,"engage in plotting or enter into a conspiracy, swear together","conspire, cabal, complot, conjure, machinate","group, friends, association, plot, collusion, plot"
16,cadaver,n,the dead body of a human being,"cadaver, corpse, stiff, clay, remains","corpse, corpse, dead body, dead body"
16,callous,adj,emotionally hardened,"callous, indurate, pachydermatous","insensitive, disinterested, cruel, cruel, vicious, indifferent"
16,candor,n,ability to make judgments free from discrimination or dishonesty,"fairness, fair-mindedness, candor, candour","honesty, justice, ease, truthfulness, honor, innocence, gullibility"
16,cantata,n,a musical composition for voices and orchestra based on a religious text,"cantata, oratorio",
16,canter,v,ride at a canter,,
16,canto,n,the highest part (usually the melody) in a piece of choral music,canto,
16,canvass,v,get the opinions (of people) by asking specific questions,"poll, canvass, canvas","poll, discuss, question, request, crusade, check out"
16,capricious,adj,changeable,"capricious, freakish","changeable, goalless, chance, dangerous, erratic, risky"
16,cardiologist,n,a specialist in cardiology; a specialist in the structure and function and disorders of the heart,"cardiologist, heart specialist, heart surgeon",
16,carnal,adj,marked by the appetites and passions of the body,"animal, carnal, fleshly, sensual","erotic, sexual intercourse, beastlike, savage, fleshly, crude"
16,carnivore,n,a terrestrial or aquatic flesh-eating mammal,carnivore,"hunter, killer"
16,cask,n,the quantity a cask will hold,"cask, caskful","container, container, container, holder, barrel"
16,catapult,v,"shoot forth or launch, as if from a catapult",catapult,"shooter, assault, throw, send off, discharge, soar"
16,caulk,v,seal with caulking,"caulk, calk","secure, obstruct"
16,caustic,n,any chemical substance that burns or destroys living tissue,caustic,
16,cede,v,give over; surrender or relinquish to the physical control of another,"concede, yield, cede, grant","surrender, acknowledge, give up, give in, relinquish, give up"
16,censure,n,harsh criticism or disapproval,"censure, animadversion","criticism, condemn, belittlement, incrimination, blame, warn"
16,chafe,v,become or make sore by or as if by rubbing,"chafe, gall, fret","rub, annoy, scrape, scrape, madden, irritate"
16,chagrin,n,strong feelings of embarrassment,"chagrin, humiliation, mortification","displeasure, displease, upset, catastrophe, concern, disorientation"
16,chalice,n,a bowl-shaped drinking vessel; especially the Eucharistic cup,"chalice, goblet","container, container, cup, container"
16,chaperon,v,accompany as a chaperone,"chaperone, chaperon","supervisor, accompany, escort, escort, server, transport"
16,chasm,n,a deep opening in the earth’s surface,chasm,"gap, hole, hole, space, extremely hopeless situation, gap"
16,clamor,v,make loud demands,"clamor, clamour","commotion, cry out, chatting, shout, fight, yell"
16,clandestine,adj,conducted with or marked by hidden aims or methods,"clandestine, cloak-and-dagger, hole-and-corner, hugger-mugger, hush-hush, secret, surreptitious, undercover, underground","secret, dishonest, secretive, secret, secret, illegal"
16,cleft,,Synonyms:,"More Synonyms: separated, gap, capable, hole, gap, opening","separated, gap, capable, hole, gap, opening"
16,clemency,n,good weather with comfortable temperatures,"mildness, clemency","forgiveness, kindness, feeling, pardon, forgiveness, compassion"
16,clout,v,"strike hard, especially with the fist",clout,"power, hit, power, strike, hit, punch"
16,coalesce,v,mix together different elements,"blend, flux, mix, conflate, commingle, immix, fuse, coalesce, meld, combine, merge","blend, blend, mix, join, coagulate, clot"
16,coercive,adj,serving or intended to coerce,coercive,"authoritarian, compulsory, powerful, required, punishment, destructive"
16,cogent,adj,powerfully persuasive,"cogent, telling, weighty","effective, examining and determining, examining, definite, persuasive, productive"
16,coincidental,adj,occurring or operating at the same time,"coincident, coincidental, coinciding, concurrent, co-occurrent, cooccurring, simultaneous","accidental, unexpected, incidental, contributing, corresponding, chance"
16,collusion,n,secret agreement,collusion,"understanding, association, conspiracy, cooperation, conspiracy, scheme"
16,commendable,adj,worthy of high praise,"applaudable, commendable, laudable, praiseworthy","praiseworthy, respected, recommended, praiseworthy, worthy, honorable"
16,commendation,n,an official award (as for bravery or service) usually given as formal public statement,"citation, commendation","acclaim, advice, approval, praise, clapping, recognition"
16,complacency,n,the feeling you have when you are satisfied with yourself,"complacency, complacence, self-complacency, self-satisfaction","ease, egotism, happiness, indulgence, contentedness, pride"
16,complacent,adj,contented to a fault with oneself or one’s actions,"complacent, self-satisfied, self-complacent","contented, confident, cozy, friendly, happy, happy"
16,complicity,n,guilt as an accomplice in a crime or offense,complicity,"conspiracy, understanding, plan"
16,concave,adj,curving inward,concave,"curved, hollow, curved, curve, bending, depress"
16,concealment,n,the condition of being concealed or hidden,"privacy, privateness, secrecy, concealment","hiding, attack, disguise, hiding place, attempt to conceal embarrassing or scandalous information, ignorance"
16,conceit,n,feelings of excessive pride,"amour propre, conceit, self-love, vanity","egotism, ego, arrogance, idea, idea, self-centeredness"
16,condescend,v,behave in a patronizing and condescending manner,condescend,"talk down to, patronize, belittle"
16,congest,,Synonyms:,"More Synonyms: obstruct, smother, block, obstruct, gather, cram","obstruct, smother, block, obstruct, gather, cram"
16,congregate,v,"come together, usually for a purpose",congregate,"assemble, surround, gather, accumulate, assemble, gather"
16,conifer,,,,
16,connotation,n,what you must know in order to determine the reference of an expression,"intension, connotation","implication, hint, mental link, parts, indication, suggestion"
16,consecrate,v,appoint to a clerical posts,"ordain, consecrate, ordinate, order","honor, bless, sanctify, sanctify, commemorate, sanctify"
16,conservationist,n,someone who works to protect the environment from destruction or pollution,"environmentalist, conservationist","environmental activist, wildlife expert"
16,consign,v,commit forever; commit irrevocably,consign,"entrust, give, attribute, assign, delegate, deliver"
16,consort,v,keep company with; hang out with,"consort, associate, affiliate, assort","associate, fraternize, agree, escort, conform, colleague"
16,conspirator,n,a member of a conspiracy,"conspirator, coconspirator, plotter, machinator","schemer, assistant, accomplice, conspirator, abettor, traitor"
16,consumerism,n,the theory that an increasing consumption of goods is economically beneficial,consumerism,
16,consummate,v,fulfill sexually,consummate,"best, achieve, complete, certain, succeed, skilled"
16,contravene,v,"go against, as of rules and laws","conflict, run afoul, infringe, contravene","contradict, disprove, violate law, perform, grumble, vary"
16,contrive,,,,
16,conundrum,n,a difficult problem,"riddle, conundrum, enigma, brain-teaser","puzzle, trick, mystery, secret, puzzle, brain-teaser"
16,convergent,adj,tending to come together from different directions,convergent,"agreeing, where earth meets sky"
16,convoluted,v,"curl, wind, or twist together","convolve, convolute","complicated, decorative, intricate, perplexing, complex, looping"
16,copious,adj,large in number or quantity (especially of discourse),"copious, voluminous","abundant, plentiful, plentiful, plentiful, sufficient, large"
16,cordon,n,a series of sentinels or of military posts enclosing or guarding some place or thing,cordon,"first place, round figure, expert in a field, isolate"
16,corroborate,v,establish or strengthen as with new evidence or facts,"confirm, corroborate, sustain, substantiate, support, affirm","confirm, affirm, certify, substantiate, vouch for, declare"
16,countenance,n,the appearance conveyed by a person’s face,"countenance, visage","appearance, self-control, approve, believe, support, characteristic"
16,counterpoint,n,a musical form involving the simultaneous sound of two or more melodies,counterpoint,
16,crass,adj,(of persons) so unrefined as to be lacking in discrimination and sensibility,crass,"insensitive, rude, vulgar, vulgar, clumsy, indifferent"
16,credence,n,the mental attitude that something is believable and should be accepted as true,"credence, acceptance","trust, faith, doctrine, assurance, hope, recognition"
16,credo,n,any system of principles or beliefs,"creed, credo","doctrine, proclamation, belief, belief, recipe, fact"
16,crevice,n,a long narrow depression in a surface,"crevice, cranny, crack, fissure, chap","crack, opening, gap, break, nook, breach"
16,cringe,v,"draw back, as with fear or pain","flinch, squinch, funk, cringe, shrink, wince, recoil, quail","flinch, hide, humble, stoop low, yield, worry"
16,crony,n,a close friend who accompanies his buddies in their activities,"buddy, brother, chum, crony, pal, sidekick","companion, colleague, friend, friend, associate, friend"
16,culmination,n,a final climactic stage,"apogee, culmination","conclusion, pinnacle, high point, calamity, settling event, ending"
16,culpable,adj,deserving blame or censure as being wrong or evil or injurious,"blameworthy, blamable, blameable, blameful, censurable, culpable","responsible, responsible, deserving blame, lawless, horrible, irresponsible"
16,culpable,,Synonyms:,"More Synonyms: responsible, responsible, deserving blame, lawless, horrible, irresponsible","responsible, responsible, deserving blame, lawless, horrible, irresponsible"
16,curative,n,a medicine or therapy that cures disease or relieve pain,"remedy, curative, cure, therapeutic","healing, comfort, healing, healing, healing"
16,cynicism,,,,
16,dabble,v,dip a foot or hand briefly into a liquid,dabble,"tinker, make wet, try, spot, tinker, stroll"
