level,word,part_of_speech,definition,synonyms,more_synonyms,mnemonic,context_sentence,story_builder
15,cull,v,remove something that has been rejected,cull,"pick out, gather, selection, select, assemble, move",🔑 Remember: 'cull' sounds like 'cul' and means remove something that has been rejected.,Every day we can 'cull' when we remove something that has been rejected.,"On a rainy day, Mia decided to ___ while she remove something that has been rejected. Choices: [cull, sleep, laugh]"
15,culvert,n,a transverse and totally enclosed drain under a road or railway,culvert,"ditch, passage, channel, ravine, ditch, ditch",🔑 Remember: 'culvert' sounds like 'cul' and means a transverse and totally enclosed drain under a road or railway.,"The word 'culvert' is a thing, it means a transverse and totally enclosed drain under a road or railway.","On a sunny day, Mia decided to ___ while she a transverse and totally enclosed drain under a road or railway. Choices: [culvert, sleep, laugh]"
15,cumbersome,adj,difficult to handle or use especially because of size or weight,"cumbersome, cumbrous","awkward, difficult, huge, weighty, bulky, massive",🔑 Remember: 'cumbersome' sounds like 'cum' and means difficult to handle or use especially because of size or weight.,My dog is 'cumbersome' because it is difficult to handle or use especially because of size or weight.,"Sara’s teacher asked the class to ___ to show they could difficult to handle or use especially because of size or weight. Choices: [cumbersome, draw, play]"
15,cunning,n,shrewdness as demonstrated by being skilled in deception,"craft, craftiness, cunning, foxiness, guile, slyness, wiliness","devious, imaginative, capable, intelligence, skilled, tricky",🔑 Remember: 'cunning' sounds like 'cun' and means shrewdness as demonstrated by being skilled in deception.,"The word 'cunning' is a thing, it means shrewdness as demonstrated by being skilled in deception.","On a sunny day, Mia decided to ___ while she shrewdness as demonstrated by being skilled in deception. Choices: [cunning, sleep, laugh]"
15,curtail,v,place restrictions on,"restrict, curtail, curb, cut back","abridge, shorten, shorten, cut short, reduce, abridge",🔑 Remember: 'curtail' sounds like 'cur' and means place restrictions on.,Every day we can 'curtail' when we place restrictions on.,"In the middle of the forest, animals love to ___ because they place restrictions on. Choices: [curtail, hide, sing]"
15,cynical,adj,believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others,"cynical, misanthropic, misanthropical","nonbelieving, non-participating, in a bad mood, irritable, fault-finding, despondent",🔑 Remember: 'cynical' sounds like 'cyn' and means believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others.,My dog is 'cynical' because it is believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others.,"On a rainy day, Mia decided to ___ while she believing the worst of human nature and motives; having a sneering disbelief in e.g. selflessness of others. Choices: [cynical, sleep, laugh]"
15,dampen,v,smother or suppress,"stifle, dampen","make wet, spoil, dull, discourage, calm, protect",🔑 Remember: 'dampen' sounds like 'dam' and means smother or suppress.,Every day we can 'dampen' when we smother or suppress.,"In the middle of the forest, animals love to ___ because they smother or suppress. Choices: [dampen, hide, sing]"
15,daredevil,n,a reckless impetuous irresponsible person,"daredevil, madcap, hothead, swashbuckler, lunatic, harum- scarum","thrill-seeker, risker, risk-taking, reckless, brave, rash",🔑 Remember: 'daredevil' sounds like 'dar' and means a reckless impetuous irresponsible person.,"The word 'daredevil' is a thing, it means a reckless impetuous irresponsible person.","Tom found a magic box that could ___ when he a reckless impetuous irresponsible person. Choices: [daredevil, dance, eat]"
15,daunt,v,cause to lose courage,"daunt, dash, scare off, pall, frighten off, scare away, frighten away, scare","frighten, upset, horrify, horrify, amaze, intimidate",🔑 Remember: 'daunt' sounds like 'dau' and means cause to lose courage.,Every day we can 'daunt' when we cause to lose courage.,"Sara’s teacher asked the class to ___ to show they could cause to lose courage. Choices: [daunt, draw, play]"
15,deceit,n,the quality of being fraudulent,"fraudulence, deceit","misleading, trick, cunning, disguise, hypocrisy, trick",🔑 Remember: 'deceit' sounds like 'dec' and means the quality of being fraudulent.,"The word 'deceit' is a thing, it means the quality of being fraudulent.","During the big game, the team had to ___ if they wanted to the quality of being fraudulent. Choices: [deceit, run, jump]"
15,deceptive,adj,causing one to believe what is not true or fail to believe what is true,"deceptive, delusory","dishonest, imitative, disguise, fake, dishonest, lying",🔑 Remember: 'deceptive' sounds like 'dec' and means causing one to believe what is not true or fail to believe what is true.,My dog is 'deceptive' because it is causing one to believe what is not true or fail to believe what is true.,"Sara’s teacher asked the class to ___ to show they could causing one to believe what is not true or fail to believe what is true. Choices: [deceptive, draw, play]"
15,decipher,v,convert code into ordinary language,"decode, decrypt, decipher","understand, figure out, clear up, explain, explain, discover",🔑 Remember: 'decipher' sounds like 'dec' and means convert code into ordinary language.,Every day we can 'decipher' when we convert code into ordinary language.,"Tom found a magic box that could ___ when he convert code into ordinary language. Choices: [decipher, dance, eat]"
15,decoy,v,lure or entrap with or as if with a decoy,decoy,"trap, bait, entice, attack, concealed trap, flatter",🔑 Remember: 'decoy' sounds like 'dec' and means lure or entrap with or as if with a decoy.,Every day we can 'decoy' when we lure or entrap with or as if with a decoy.,"Tom found a magic box that could ___ when he lure or entrap with or as if with a decoy. Choices: [decoy, dance, eat]"
15,deduce,v,reason by deduction; establish by deduction,"deduce, infer, deduct, derive","understand, believe, decide, explain, understand, prophesy",🔑 Remember: 'deduce' sounds like 'ded' and means reason by deduction; establish by deduction.,Every day we can 'deduce' when we reason by deduction; establish by deduction.,"In the middle of the forest, animals love to ___ because they reason by deduction; establish by deduction. Choices: [deduce, hide, sing]"
15,defiance,n,intentionally contemptuous behavior or attitude,"defiance, rebelliousness","disobedience, arrogance, question, disrespect, variance, rashness",🔑 Remember: 'defiance' sounds like 'def' and means intentionally contemptuous behavior or attitude.,"The word 'defiance' is a thing, it means intentionally contemptuous behavior or attitude.","On a snowy day, Mia decided to ___ while she intentionally contemptuous behavior or attitude. Choices: [defiance, sleep, laugh]"
15,defiant,adj,boldly resisting authority or an opposing force,"defiant, noncompliant","disobedient, arrogant, bold, brash, rebellious, sarcastic",🔑 Remember: 'defiant' sounds like 'def' and means boldly resisting authority or an opposing force.,My dog is 'defiant' because it is boldly resisting authority or an opposing force.,"Sara’s teacher asked the class to ___ to show they could boldly resisting authority or an opposing force. Choices: [defiant, draw, play]"
15,deflect,v,prevent the occurrence of; prevent from happening,,,🔑 Remember: 'deflect' sounds like 'def' and means prevent the occurrence of; prevent from happening.,Every day we can 'deflect' when we prevent the occurrence of; prevent from happening.,"Tom found a magic box that could ___ when he prevent the occurrence of; prevent from happening. Choices: [deflect, dance, eat]"
15,degenerate,v,grow worse,"devolve, deteriorate, drop, degenerate","corrupt, decay, barbarian, worsen, shameful, vicious",🔑 Remember: 'degenerate' sounds like 'deg' and means grow worse.,Every day we can 'degenerate' when we grow worse.,"In the middle of the forest, animals love to ___ because they grow worse. Choices: [degenerate, hide, sing]"
15,degeneration,n,the process of declining from a higher to a lower level of effective power or vitality or essential quality,"degeneration, devolution","disintegration, disintegration, baseness, perversion, collapse, lessening",🔑 Remember: 'degeneration' sounds like 'deg' and means the process of declining from a higher to a lower level of effective power or vitality or essential quality.,"The word 'degeneration' is a thing, it means the process of declining from a higher to a lower level of effective power or vitality or essential quality.","In the middle of the forest, animals love to ___ because they the process of declining from a higher to a lower level of effective power or vitality or essential quality. Choices: [degeneration, hide, sing]"
15,delimit,v,determine the essential quality of,"specify, define, delineate, delimit, delimitate","restrict, limit, outline, govern, restrict, calculate",🔑 Remember: 'delimit' sounds like 'del' and means determine the essential quality of.,Every day we can 'delimit' when we determine the essential quality of.,"During the big game, the team had to ___ if they wanted to determine the essential quality of. Choices: [delimit, run, jump]"
15,delineate,v,show the form or outline of,"define, delineate","describe; outline, edge, distinguish, plan, delimit, explain",🔑 Remember: 'delineate' sounds like 'del' and means show the form or outline of.,Every day we can 'delineate' when we show the form or outline of.,"During the big game, the team had to ___ if they wanted to show the form or outline of. Choices: [delineate, run, jump]"
15,delusion,n,(psychology) an erroneous belief that is held in the face of evidence to the contrary,"delusion, psychotic belief","misconception, ghost, boast, lie, dream, illusion",🔑 Remember: 'delusion' sounds like 'del' and means (psychology) an erroneous belief that is held in the face of evidence to the contrary.,"The word 'delusion' is a thing, it means (psychology) an erroneous belief that is held in the face of evidence to the contrary.","Tom found a magic box that could ___ when he (psychology) an erroneous belief that is held in the face of evidence to the contrary. Choices: [delusion, dance, eat]"
15,delve,v,"turn up, loosen, or remove earth","dig, delve, cut into, turn over","dig, dig, hollow out, investigate, start, analyze","🔑 Remember: 'delve' sounds like 'del' and means turn up, loosen, or remove earth.","Every day we can 'delve' when we turn up, loosen, or remove earth.","During the big game, the team had to ___ if they wanted to turn up, loosen, or remove earth. Choices: [delve, run, jump]"
15,derail,v,cause to run off the tracks,derail,talk out of,🔑 Remember: 'derail' sounds like 'der' and means cause to run off the tracks.,Every day we can 'derail' when we cause to run off the tracks.,"On a rainy day, Mia decided to ___ while she cause to run off the tracks. Choices: [derail, sleep, laugh]"
15,despise,v,look down on with disdain,"contemn, despise, scorn, disdain","look down on, hate, detest, challenge, humiliate, hate",🔑 Remember: 'despise' sounds like 'des' and means look down on with disdain.,Every day we can 'despise' when we look down on with disdain.,"During the big game, the team had to ___ if they wanted to look down on with disdain. Choices: [despise, run, jump]"
15,detachment,n,avoiding emotional involvement,"withdrawal, detachment","disconnection, aloofness, troop, contemplation, uncaring, subdivision",🔑 Remember: 'detachment' sounds like 'det' and means avoiding emotional involvement.,"The word 'detachment' is a thing, it means avoiding emotional involvement.","Sara’s teacher asked the class to ___ to show they could avoiding emotional involvement. Choices: [detachment, draw, play]"
15,deterrent,n,something immaterial that interferes with or delays action or progress,"hindrance, hinderance, deterrent, impediment, balk, baulk, check, handicap","impediment, barrier, stop, restraint, piece of advice, confinement",🔑 Remember: 'deterrent' sounds like 'det' and means something immaterial that interferes with or delays action or progress.,"The word 'deterrent' is a thing, it means something immaterial that interferes with or delays action or progress.","In the middle of the forest, animals love to ___ because they something immaterial that interferes with or delays action or progress. Choices: [deterrent, hide, sing]"
15,detrimental,adj,(sometimes followed by `to’) causing harm or injury,"damaging, detrimental, prejudicial, prejudicious","damaging, unfavorable, harmful, hurtful, harmful, injurious",🔑 Remember: 'detrimental' sounds like 'det' and means (sometimes followed by `to’) causing harm or injury.,My dog is 'detrimental' because it is (sometimes followed by `to’) causing harm or injury.,"On a sunny day, Mia decided to ___ while she (sometimes followed by `to’) causing harm or injury. Choices: [detrimental, sleep, laugh]"
15,deviate,v,turn aside; turn away from,"deviate, divert","stray, different, go astray, avoid, differ, bending",🔑 Remember: 'deviate' sounds like 'dev' and means turn aside; turn away from.,Every day we can 'deviate' when we turn aside; turn away from.,"Tom found a magic box that could ___ when he turn aside; turn away from. Choices: [deviate, dance, eat]"
15,devoid,adj,completely wanting or lacking,"barren, destitute, devoid, free, innocent","empty, deficient, lacking, consumed, wanting, void",🔑 Remember: 'devoid' sounds like 'dev' and means completely wanting or lacking.,My dog is 'devoid' because it is completely wanting or lacking.,"On a sunny day, Mia decided to ___ while she completely wanting or lacking. Choices: [devoid, sleep, laugh]"
15,devotee,n,an ardent follower and admirer,"fan, buff, devotee, lover","fan, fiend, supporter or follower, enthusiast, fan, disciple",🔑 Remember: 'devotee' sounds like 'dev' and means an ardent follower and admirer.,"The word 'devotee' is a thing, it means an ardent follower and admirer.","In the middle of the forest, animals love to ___ because they an ardent follower and admirer. Choices: [devotee, hide, sing]"
15,devour,v,destroy completely,devour,"consume, drink, eat, use, eat, drink, fill",🔑 Remember: 'devour' sounds like 'dev' and means destroy completely.,Every day we can 'devour' when we destroy completely.,"During the big game, the team had to ___ if they wanted to destroy completely. Choices: [devour, run, jump]"
15,diligent,adj,quietly and steadily persevering especially in detail or exactness,"diligent, persevering","persevering, involved, work, hard-working, efficient, working",🔑 Remember: 'diligent' sounds like 'dil' and means quietly and steadily persevering especially in detail or exactness.,My dog is 'diligent' because it is quietly and steadily persevering especially in detail or exactness.,"Sara’s teacher asked the class to ___ to show they could quietly and steadily persevering especially in detail or exactness. Choices: [diligent, draw, play]"
15,dinghy,n,a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled,"dinghy, dory, rowboat",vessel,🔑 Remember: 'dinghy' sounds like 'din' and means a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled.,"The word 'dinghy' is a thing, it means a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled.","Sara’s teacher asked the class to ___ to show they could a small boat of shallow draft with cross thwarts for seats and rowlocks for oars with which it is propelled. Choices: [dinghy, draw, play]"
15,disarm,v,remove offensive capability from,"disarm, demilitarize, demilitarise","cripple, persuade, disable, cripple, cripple, yield",🔑 Remember: 'disarm' sounds like 'dis' and means remove offensive capability from.,Every day we can 'disarm' when we remove offensive capability from.,"In the middle of the forest, animals love to ___ because they remove offensive capability from. Choices: [disarm, hide, sing]"
15,discontent,n,a longing for something better than the present situation,,,🔑 Remember: 'discontent' sounds like 'dis' and means a longing for something better than the present situation.,"The word 'discontent' is a thing, it means a longing for something better than the present situation.","Tom found a magic box that could ___ when he a longing for something better than the present situation. Choices: [discontent, dance, eat]"
15,discontinuity,n,lack of connection or continuity,discontinuity,"gap, opening, gap, break, displacement, break",🔑 Remember: 'discontinuity' sounds like 'dis' and means lack of connection or continuity.,"The word 'discontinuity' is a thing, it means lack of connection or continuity.","Tom found a magic box that could ___ when he lack of connection or continuity. Choices: [discontinuity, dance, eat]"
15,discredit,v,cause to be distrusted or disbelieved,discredit,"blame, doubt, detract, diminish, jeopardize, disgrace",🔑 Remember: 'discredit' sounds like 'dis' and means cause to be distrusted or disbelieved.,Every day we can 'discredit' when we cause to be distrusted or disbelieved.,"On a rainy day, Mia decided to ___ while she cause to be distrusted or disbelieved. Choices: [discredit, sleep, laugh]"
15,disjoint,,Synonyms:,"More Synonyms: displace, cut, mix up, cut up, remove, dissociate","displace, cut, mix up, cut up, remove, dissociate",🔑 Remember: 'disjoint' sounds like 'dis' and means Synonyms:.,'disjoint' means Synonyms:.,"Sara’s teacher asked the class to ___ to show they could Synonyms:. Choices: [disjoint, draw, play]"
15,dismal,adj,causing dejection,"blue, dark, dingy, disconsolate, dismal, gloomy, grim, sorry, drab, drear, dreary","gloomy, hopeless, depressing, sad, depressing, unfriendly",🔑 Remember: 'dismal' sounds like 'dis' and means causing dejection.,My dog is 'dismal' because it is causing dejection.,"In the middle of the forest, animals love to ___ because they causing dejection. Choices: [dismal, hide, sing]"
15,dismay,n,the feeling of despair in the face of obstacles,"discouragement, disheartenment, dismay","disappointment, disappoint, upset, upset, horrify, horrify",🔑 Remember: 'dismay' sounds like 'dis' and means the feeling of despair in the face of obstacles.,"The word 'dismay' is a thing, it means the feeling of despair in the face of obstacles.","In the middle of the forest, animals love to ___ because they the feeling of despair in the face of obstacles. Choices: [dismay, hide, sing]"
15,disparate,adj,fundamentally different or distinct in quality or kind,disparate,"different, dissimilar, various, disagreeing, not alike, different",🔑 Remember: 'disparate' sounds like 'dis' and means fundamentally different or distinct in quality or kind.,My dog is 'disparate' because it is fundamentally different or distinct in quality or kind.,"Tom found a magic box that could ___ when he fundamentally different or distinct in quality or kind. Choices: [disparate, dance, eat]"
15,dispel,v,force to go away; used both with concrete and metaphoric meanings,"chase away, drive out, turn back, drive away, dispel, drive off, run off","banish, expel, forget, distribute, disappear, dry up",🔑 Remember: 'dispel' sounds like 'dis' and means force to go away; used both with concrete and metaphoric meanings.,Every day we can 'dispel' when we force to go away; used both with concrete and metaphoric meanings.,"On a rainy day, Mia decided to ___ while she force to go away; used both with concrete and metaphoric meanings. Choices: [dispel, sleep, laugh]"
15,dissatisfy,,Synonyms:,"More Synonyms: displease, dismay, make unhappy, disappoint, upset","displease, dismay, make unhappy, disappoint, upset",🔑 Remember: 'dissatisfy' sounds like 'dis' and means Synonyms:.,'dissatisfy' means Synonyms:.,"In the middle of the forest, animals love to ___ because they Synonyms:. Choices: [dissatisfy, hide, sing]"
15,dissatisfy,,Synonyms:,"More Synonyms: displease, dismay, make unhappy, disappoint, upset","displease, dismay, make unhappy, disappoint, upset",🔑 Remember: 'dissatisfy' sounds like 'dis' and means Synonyms:.,'dissatisfy' means Synonyms:.,"Sara’s teacher asked the class to ___ to show they could Synonyms:. Choices: [dissatisfy, draw, play]"
15,dissident,n,a person who dissents from some established policy,"dissenter, dissident, protester, objector, contestant","nonbeliever, provoker, antagonistic, conflicting, unorthodox, detractor",🔑 Remember: 'dissident' sounds like 'dis' and means a person who dissents from some established policy.,"The word 'dissident' is a thing, it means a person who dissents from some established policy.","Tom found a magic box that could ___ when he a person who dissents from some established policy. Choices: [dissident, dance, eat]"
15,dissipate,v,to cause to separate and go in different directions,"disperse, dissipate, dispel, break up, scatter","spend, disappear, misuse, weaken, disappear slowly, use",🔑 Remember: 'dissipate' sounds like 'dis' and means to cause to separate and go in different directions.,Every day we can 'dissipate' when we to cause to separate and go in different directions.,"On a rainy day, Mia decided to ___ while she to cause to separate and go in different directions. Choices: [dissipate, sleep, laugh]"
15,distrust,v,regard as untrustworthy; regard with suspicion; have no faith or confidence in,"distrust, mistrust, suspect","doubt, doubt, doubt, doubt, doubt, dislike",🔑 Remember: 'distrust' sounds like 'dis' and means regard as untrustworthy; regard with suspicion; have no faith or confidence in.,Every day we can 'distrust' when we regard as untrustworthy; regard with suspicion; have no faith or confidence in.,"Sara’s teacher asked the class to ___ to show they could regard as untrustworthy; regard with suspicion; have no faith or confidence in. Choices: [distrust, draw, play]"
15,diverge,v,move or draw apart,diverge,"branch off, be different, extend, extend beyond main part, differ, differ",🔑 Remember: 'diverge' sounds like 'div' and means move or draw apart.,Every day we can 'diverge' when we move or draw apart.,"On a snowy day, Mia decided to ___ while she move or draw apart. Choices: [diverge, sleep, laugh]"
15,divergence,n,the act of moving away in different direction from a common point,"divergence, divergency","difference, difference, V-shape, limb, change, difference",🔑 Remember: 'divergence' sounds like 'div' and means the act of moving away in different direction from a common point.,"The word 'divergence' is a thing, it means the act of moving away in different direction from a common point.","Sara’s teacher asked the class to ___ to show they could the act of moving away in different direction from a common point. Choices: [divergence, draw, play]"
15,divergent,adj,diverging from another or from a standard,divergent,"differing, different, deviating, nonconforming, radiating, abnormal",🔑 Remember: 'divergent' sounds like 'div' and means diverging from another or from a standard.,My dog is 'divergent' because it is diverging from another or from a standard.,"Sara’s teacher asked the class to ___ to show they could diverging from another or from a standard. Choices: [divergent, draw, play]"
15,divulge,v,make known to the public information that was previously known only to a few people or that was meant to be kept a secret,"unwrap, disclose, let on, bring out, reveal, discover, expose, divulge, break, give away, let out","make known, familiarize, confess, publicize, declare, proclaim",🔑 Remember: 'divulge' sounds like 'div' and means make known to the public information that was previously known only to a few people or that was meant to be kept a secret.,Every day we can 'divulge' when we make known to the public information that was previously known only to a few people or that was meant to be kept a secret.,"In the middle of the forest, animals love to ___ because they make known to the public information that was previously known only to a few people or that was meant to be kept a secret. Choices: [divulge, hide, sing]"
15,dole,n,a share of money or food or clothing that has been charitably given,dole,"allocation, distribute, dispense, assign, handout, pain",🔑 Remember: 'dole' sounds like 'dol' and means a share of money or food or clothing that has been charitably given.,"The word 'dole' is a thing, it means a share of money or food or clothing that has been charitably given.","Tom found a magic box that could ___ when he a share of money or food or clothing that has been charitably given. Choices: [dole, dance, eat]"
15,dormant,adj,in a condition of biological rest or suspended animation,"dormant, hibernating, torpid","sleeping, unconscious, inactive, inert, lifeless, lazy",🔑 Remember: 'dormant' sounds like 'dor' and means in a condition of biological rest or suspended animation.,My dog is 'dormant' because it is in a condition of biological rest or suspended animation.,"In the middle of the forest, animals love to ___ because they in a condition of biological rest or suspended animation. Choices: [dormant, hide, sing]"
15,dossier,n,a collection of papers containing detailed information about a particular person or subject (usually a person’s record),dossier,"file, information, system, facts, document",🔑 Remember: 'dossier' sounds like 'dos' and means a collection of papers containing detailed information about a particular person or subject (usually a person’s record).,"The word 'dossier' is a thing, it means a collection of papers containing detailed information about a particular person or subject (usually a person’s record).","During the big game, the team had to ___ if they wanted to a collection of papers containing detailed information about a particular person or subject (usually a person’s record). Choices: [dossier, run, jump]"
15,downright,adv,thoroughgoing,downright,"thorough, complete, friendly, dictatorial, simple, absolute",🔑 Remember: 'downright' sounds like 'dow' and means thoroughgoing.,"He acted 'downright', which means he acted thoroughgoing.","On a sunny day, Mia decided to ___ while she thoroughgoing. Choices: [downright, sleep, laugh]"
15,drench,v,drench or submerge or be drenched or submerged,"swamp, drench","wet, inundate, put in, submerge, wet, submerge",🔑 Remember: 'drench' sounds like 'dre' and means drench or submerge or be drenched or submerged.,Every day we can 'drench' when we drench or submerge or be drenched or submerged.,"On a rainy day, Mia decided to ___ while she drench or submerge or be drenched or submerged. Choices: [drench, sleep, laugh]"
15,drone,n,stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen,drone,"purr, honey-making, stinging insect, nuisance, drone, sing, inactive person who watches a lot of television",🔑 Remember: 'drone' sounds like 'dro' and means stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen.,"The word 'drone' is a thing, it means stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen.","In the middle of the forest, animals love to ___ because they stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen. Choices: [drone, hide, sing]"
15,dubious,adj,fraught with uncertainty or doubt,"doubtful, dubious","doubtful, vague, asserted, unclear, questionable, debatable",🔑 Remember: 'dubious' sounds like 'dub' and means fraught with uncertainty or doubt.,My dog is 'dubious' because it is fraught with uncertainty or doubt.,"In the middle of the forest, animals love to ___ because they fraught with uncertainty or doubt. Choices: [dubious, hide, sing]"
15,dupe,v,fool or hoax,"gull, dupe, slang, befool, cod, fool, put on, take in, put one over, put one across","fool, fool, dupable person, fool, fool, joke object",🔑 Remember: 'dupe' sounds like 'dup' and means fool or hoax.,Every day we can 'dupe' when we fool or hoax.,"Sara’s teacher asked the class to ___ to show they could fool or hoax. Choices: [dupe, draw, play]"
15,dysfunctional,adj,impaired in function; especially of a bodily system or organ,dysfunctional,"socially impaired, not of use",🔑 Remember: 'dysfunctional' sounds like 'dys' and means impaired in function; especially of a bodily system or organ.,My dog is 'dysfunctional' because it is impaired in function; especially of a bodily system or organ.,"Sara’s teacher asked the class to ___ to show they could impaired in function; especially of a bodily system or organ. Choices: [dysfunctional, draw, play]"
15,ebb,v,flow back or recede,"ebb, ebb away, ebb down, ebb out, ebb off","decline, decline, receding tide, lessen, condense, lessening",🔑 Remember: 'ebb' sounds like 'ebb' and means flow back or recede.,Every day we can 'ebb' when we flow back or recede.,"Tom found a magic box that could ___ when he flow back or recede. Choices: [ebb, dance, eat]"
15,eccentric,adj,conspicuously or grossly unconventional or unusual,"bizarre, eccentric, freakish, freaky, flaky, flakey, gonzo, off-the- wall, outlandish, outre","bizarre, bizarre person, different, deviating, wild, radiating",🔑 Remember: 'eccentric' sounds like 'ecc' and means conspicuously or grossly unconventional or unusual.,My dog is 'eccentric' because it is conspicuously or grossly unconventional or unusual.,"On a rainy day, Mia decided to ___ while she conspicuously or grossly unconventional or unusual. Choices: [eccentric, sleep, laugh]"
15,eerie,adj,suggestive of the supernatural; mysterious,,,🔑 Remember: 'eerie' sounds like 'eer' and means suggestive of the supernatural; mysterious.,My dog is 'eerie' because it is suggestive of the supernatural; mysterious.,"During the big game, the team had to ___ if they wanted to suggestive of the supernatural; mysterious. Choices: [eerie, run, jump]"
15,elaboration,n,addition of extra material or illustration or clarifying detail,"amplification, elaboration","increase, complicatedness, beautification, decorating, overstatement, coating",🔑 Remember: 'elaboration' sounds like 'ela' and means addition of extra material or illustration or clarifying detail.,"The word 'elaboration' is a thing, it means addition of extra material or illustration or clarifying detail.","Tom found a magic box that could ___ when he addition of extra material or illustration or clarifying detail. Choices: [elaboration, dance, eat]"
15,electrify,v,excite suddenly and intensely,electrify,"thrill, surprise, excite, activate, stir up, excite",🔑 Remember: 'electrify' sounds like 'ele' and means excite suddenly and intensely.,Every day we can 'electrify' when we excite suddenly and intensely.,"In the middle of the forest, animals love to ___ because they excite suddenly and intensely. Choices: [electrify, hide, sing]"
15,elixir,n,a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste,elixir,"remedy, soup, solution, panacea, concentrate, fluid",🔑 Remember: 'elixir' sounds like 'eli' and means a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste.,"The word 'elixir' is a thing, it means a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste.","On a snowy day, Mia decided to ___ while she a sweet flavored liquid (usually containing a small amount of alcohol) used in compounding medicines to be taken by mouth in order to mask an unpleasant taste. Choices: [elixir, sleep, laugh]"
15,elliptical,adj,rounded like an egg,"egg-shaped, elliptic, elliptical, oval, oval-shaped, ovate, oviform, ovoid, prolate","oval, bowed, nebula, egg-shaped, egg-shaped, ball-shaped",🔑 Remember: 'elliptical' sounds like 'ell' and means rounded like an egg.,My dog is 'elliptical' because it is rounded like an egg.,"Sara’s teacher asked the class to ___ to show they could rounded like an egg. Choices: [elliptical, draw, play]"
15,elongate,v,make long or longer by pulling and stretching,"elongate, stretch","make longer, extend, prolong, increase, enlarge, lengthened",🔑 Remember: 'elongate' sounds like 'elo' and means make long or longer by pulling and stretching.,Every day we can 'elongate' when we make long or longer by pulling and stretching.,"During the big game, the team had to ___ if they wanted to make long or longer by pulling and stretching. Choices: [elongate, run, jump]"
15,eloquent,adj,"expressing yourself readily, clearly, effectively","eloquent, facile, fluent, silver, silver-tongued, smooth-spoken","witty, coherent, explanatory, dignified, telling, articulate","🔑 Remember: 'eloquent' sounds like 'elo' and means expressing yourself readily, clearly, effectively.","My dog is 'eloquent' because it is expressing yourself readily, clearly, effectively.","Sara’s teacher asked the class to ___ to show they could expressing yourself readily, clearly, effectively. Choices: [eloquent, draw, play]"
15,elucidate,v,make clear and (more) comprehensible,"clarify, clear up, elucidate","explain, explain, note, solve, appeal, explain",🔑 Remember: 'elucidate' sounds like 'elu' and means make clear and (more) comprehensible.,Every day we can 'elucidate' when we make clear and (more) comprehensible.,"During the big game, the team had to ___ if they wanted to make clear and (more) comprehensible. Choices: [elucidate, run, jump]"
15,elusive,adj,difficult to describe,elusive,"evasive, lying, deceitful, fleeing, secretive, unreachable",🔑 Remember: 'elusive' sounds like 'elu' and means difficult to describe.,My dog is 'elusive' because it is difficult to describe.,"During the big game, the team had to ___ if they wanted to difficult to describe. Choices: [elusive, run, jump]"
15,emanate,v,"proceed or issue forth, as from a source",emanate,"give off, happen, happen, arise, come from, fall","🔑 Remember: 'emanate' sounds like 'ema' and means proceed or issue forth, as from a source.","Every day we can 'emanate' when we proceed or issue forth, as from a source.","On a sunny day, Mia decided to ___ while she proceed or issue forth, as from a source. Choices: [emanate, sleep, laugh]"
15,embargo,n,a government order imposing a trade barrier,"embargo, trade embargo, trade stoppage","prohibition, forbiddance, ban, reject, forbid, expulsion",🔑 Remember: 'embargo' sounds like 'emb' and means a government order imposing a trade barrier.,"The word 'embargo' is a thing, it means a government order imposing a trade barrier.","In the middle of the forest, animals love to ___ because they a government order imposing a trade barrier. Choices: [embargo, hide, sing]"
15,embarrassment,n,the shame you feel when your inadequacy or guilt is made public,embarrassment,"humiliation, displeasure, confusion, disorientation, shyness, danger",🔑 Remember: 'embarrassment' sounds like 'emb' and means the shame you feel when your inadequacy or guilt is made public.,"The word 'embarrassment' is a thing, it means the shame you feel when your inadequacy or guilt is made public.","Sara’s teacher asked the class to ___ to show they could the shame you feel when your inadequacy or guilt is made public. Choices: [embarrassment, draw, play]"
15,embellish,v,add details to,"embroider, pad, lard, embellish, aggrandize, aggrandise, blow up, dramatize, dramatise","decorate, decorate, adorn, enhance, shade, clothe",🔑 Remember: 'embellish' sounds like 'emb' and means add details to.,Every day we can 'embellish' when we add details to.,"During the big game, the team had to ___ if they wanted to add details to. Choices: [embellish, run, jump]"
